iter	Passed	Remaining
664	6271	40880
665	6280	40869
666	6288	40854
667	6297	40841
668	6306	40827
669	6315	40814
670	6323	40797
671	6333	40789
672	6342	40776
673	6350	40762
674	6360	40751
675	6368	40736
676	6377	40724
677	6385	40708
678	6394	40693
679	6403	40681
680	6412	40669
681	6421	40654
682	6429	40639
683	6437	40623
684	6447	40612
685	6455	40596
686	6463	40580
687	6472	40566
688	6480	40550
689	6489	40538
690	6498	40523
691	6507	40510
692	6516	40497
693	6524	40484
694	6533	40470
695	6542	40457
696	6551	40444
697	6559	40429
698	6568	40416
699	6577	40405
700	6586	40393
701	6594	40377
702	6604	40366
703	6612	40353
704	6621	40341
705	6630	40329
706	6639	40315
707	6647	40299
708	6657	40291
709	6666	40279
710	6675	40266
711	6683	40251
712	6692	40239
713	6701	40229
714	6710	40213
715	6718	40201
716	6727	40186
717	6736	40173
718	6744	40157
719	6753	40143
720	6761	40130
721	6770	40116
722	6779	40102
723	6787	40089
724	6796	40076
725	6805	40063
726	6813	40048
727	6822	40036
728	6831	40023
729	6839	40008
730	6848	39993
731	6856	39978
732	6865	39967
733	6874	39953
734	6883	39942
735	6892	39931
736	6901	39918
737	6909	39905
738	6919	39894
739	6927	39881
740	6936	39869
741	6945	39857
742	6954	39844
743	6962	39830
744	6971	39817
745	6980	39807
746	6989	39792
747	6998	39780
748	7006	39765
749	7015	39752
750	7023	39739
751	7032	39725
752	7040	39711
753	7049	39699
754	7058	39688
755	7067	39675
756	7076	39661
757	7085	39651
758	7094	39639
759	7102	39625
760	7111	39613
761	7119	39598
762	7129	39588
763	7137	39573
764	7146	39562
765	7155	39549
766	7164	39538
767	7172	39525
768	7181	39512
769	7190	39500
770	7199	39488
771	7216	39524
772	7230	39537
773	7241	39536
774	7249	39524
775	7258	39512
776	7267	39500
777	7276	39488
778	7285	39475
779	7294	39465
780	7303	39452
781	7312	39442
782	7321	39429
783	7329	39416
784	7338	39403
785	7347	39391
786	7356	39379
